place_id,business_name,category,address,postcode_area,town_searched,rating,review_count,business_status,phone,phone_intl,website,google_maps_url
ChIJm_jGWW_F2EcR0lssN6XDoaA,"Window Cleaning Essex, Basildon & Southend - Exterior Pro",window cleaner,"731A Clay Hill Rd, Basildon SS16 4NH",SS16,Basildon,5,12,OPERATIONAL,07506 174954,+44 7506 174954,http://exteriorprocleaning.co.uk/,https://maps.google.com/?cid=11574747631681559506
ChIJ2R8LXUcaG2URKX3sJSIl688,Sunny Window Cleaning,window cleaner,"The lees, Upper Ave, South Benfleet, North Benfleet, Basildon SS13 2LR",SS13,Basildon,5,20,OPERATIONAL,07745 308026,+44 7745 308026,,https://maps.google.com/?cid=14982109413973458217
ChIJlcGo5HXF2EcR4q7hqqvlWKk,UKWindowClean,window cleaner,"9 Cricketers Wy., Basildon SS13 1SS",SS13,Basildon,5,1,OPERATIONAL,0113 271 7313,+44 113 271 7313,https://ukwindowclean.com/window-cleaning-basildon.html,https://maps.google.com/?cid=12202755715829444322
ChIJSXsk6i6cSKoRbGR8SYc1W10,The Traditional Window Cleaner,window cleaner,"54 Eversley Rd, South Benfleet, Benfleet SS7 4JH",SS7,Basildon,4.7,14,OPERATIONAL,01702 567081,+44 1702 567081,https://www.traditionalwindowcleaner.uk/,https://maps.google.com/?cid=6727029323577713772
ChIJA7ppDJQd8g0RIXd1rYdWWTE,We Clean Essex,window cleaner,Billericay CM11 1JT,CM11,Basildon,5,87,OPERATIONAL,07591 851397,+44 7591 851397,https://wecleanessex.co.uk/,https://maps.google.com/?cid=3555968521516447521
ChIJNey6yHepXA4RdvYwBtw56Jc,PRIME KLENZ exterior cleaning services,window cleaner,"69 Montague St, Basildon SS14 3GU",SS14,Basildon,5,10,OPERATIONAL,07951 308550,+44 7951 308550,https://primeklenz.co.uk/,https://maps.google.com/?cid=10946062511483450998
ChIJbXcYa_XH2EcRdnN9igMGPK0,Deany Clean,window cleaner,"38 Cumberland Dr, Laindon, Basildon SS15 6QS",SS15,Basildon,5,4,OPERATIONAL,07852 114568,+44 7852 114568,http://www.deanyclean.co.uk/,https://maps.google.com/?cid=12482858879442318198
ChIJt7SHtZG-2EcRPtSiVjBJKTs,wecleanwindows.co.uk,window cleaner,"Brick House Farm, Doddinghurst Rd, Pilgrims Hatch, Brentwood CM15 0SG",CM15,Basildon,4.9,143,OPERATIONAL,01277 532577,+44 1277 532577,https://wecleanwindows.co.uk/,https://maps.google.com/?cid=4263018994243654718
ChIJ_Ub8o6PF2EcRRyFkt2gN9Vs,Sky View Cleaning Ltd,window cleaner,"Fortress House, 301 High Rd, South Benfleet, Benfleet SS7 5HA",SS7,Basildon,4.9,217,OPERATIONAL,01268 962952,+44 1268 962952,http://www.skyviewcleaning.co.uk/,https://maps.google.com/?cid=6626217170150105415
ChIJRSTUpiO-2EcRtc8NgdnQZhs,Shine On UK,window cleaner,"Woodcroft, Hay Green Ln, Hook End, Brentwood CM15 0NX",CM15,Basildon,4.9,49,OPERATIONAL,07754 854971,+44 7754 854971,https://shineonuk.com/,https://maps.google.com/?cid=1974495119240187829
ChIJCwlC1LOP2EcR2KwO_fsi94c,Big Wave Window Cleaning,window cleaner,"1 Cambridge Rd, Stansted Mountfitchet, Stansted CM24 8NF",CM24,Basildon,5,2,OPERATIONAL,07427 681744,+44 7427 681744,https://bigwavewindowcleaning.co.uk/,https://maps.google.com/?cid=9797337980045536472
ChIJT59qPKtbAa4RhlFADM_WwEM,AquaDan Window Cleaning & Pressure washing,window cleaner,"487 Rayleigh Rd, Southend-on-Sea, essex SS9 5HL",SS9,Basildon,5,71,OPERATIONAL,07506 055712,+44 7506 055712,https://www.aquadan.co.uk/,https://maps.google.com/?cid=4882138180821733766
ChIJ_c-6N9XA2EcRQiuUHKRUFH0,Window Cleaning Billericay. Billericay Cleaning Services,window cleaner,"157 Noak Hill Rd, Billericay CM12 9UJ",CM12,Basildon,4,8,OPERATIONAL,07810 547730,+44 7810 547730,http://www.billericaycleaning.co.uk/,https://maps.google.com/?cid=9012921818106047298
ChIJAWDJGvfF2EcRmWWF0rPOlgg,Billericay Cleaning & Supplies,window cleaner,"Unit M, The Enterprise Centre, Paycocke Rd, Basildon SS14 3DY",SS14,Basildon,5,99,OPERATIONAL,01268 536191,+44 1268 536191,http://billericaycleaningandsupplies.com/,https://maps.google.com/?cid=618909270536447385
ChIJAbaepDhTOmAREoSvXXza_KI,GardenCraft - G C Landscapes Ltd,gardener,"12D Devonshire Cl, Basildon SS15 6HJ",SS15,Basildon,5,23,OPERATIONAL,07795 168359,+44 7795 168359,http://www.gclandscapes.co.uk/,https://maps.google.com/?cid=11744502155957994514
ChIJL4HZkNXH2EcRX0VmEBXTWak,Howes Garden Services,gardener,"51 Mill Green Pl, Pitsea, Basildon SS13 3QU",SS13,Basildon,5,1,OPERATIONAL,07958 444993,+44 7958 444993,http://www.howesgardenservices.co.uk/,https://maps.google.com/?cid=12203016752759981407
ChIJnzeDXWHH2EcRciaHLMpnkfc,Digging Pig Garden services,gardener,"63 Ardleigh, Basildon SS16 5RE",SS16,Basildon,4.8,6,OPERATIONAL,07903 025606,+44 7903 025606,https://www.facebook.com/DiggingpigGardenmaintenance/,https://maps.google.com/?cid=17839153717019354738
ChIJwbttjYbF2EcR3dFuU_42fpw,Alton Landscapes,gardener,"18, Pemberry Place, Clayburn Cir, Basildon SS14 1FZ",SS14,Basildon,4.6,20,OPERATIONAL,07407 402222,+44 7407 402222,https://www.altonlandscapes.co.uk/,https://maps.google.com/?cid=11276510982931665373
ChIJVTRAXeDH2EcR-mHLq3L7zSE,Garden Solutions by Judi Baker,gardener,"179 Forest Glade, Langdon Hills, Basildon SS16 6SX",SS16,Basildon,5,7,OPERATIONAL,07802 362844,+44 7802 362844,https://www.gardensbyjudi.com/,https://maps.google.com/?cid=2435879443404382714
ChIJhbyi84vF2EcRIm3krDIaZaA,Beni Landscaping,gardener,"Malgraves Pl, Basildon SS13 3PY",SS13,Basildon,4.9,21,OPERATIONAL,07411 344141,+44 7411 344141,https://www.benilandscaping.co.uk/,https://maps.google.com/?cid=11557672823667584290
ChIJjwEgThjH2EcRmrGqq6Ifyvo,Above&beyond landscapes ltd,gardener,"Bentalls, Basildon SS14 3BS",SS14,Basildon,5,29,OPERATIONAL,07903 504180,+44 7903 504180,https://www.abovebeyondlandscapes.co.uk/,https://maps.google.com/?cid=18071291238302790042
ChIJmcgPDnnZ2EcRknKVI_aYgmA,Landscapes By Design Limited,gardener,"Unit 3, Bentalls Business Park, Basildon, Essex SS14 3BN",SS14,Basildon,5,6,OPERATIONAL,01277 582758,+44 1277 582758,http://www.landscapesbydesign.co.uk/,https://maps.google.com/?cid=6954288957539840658
ChIJ_Y4MrXzF2EcR6DNojnLfA6M,Green Horizon Essex,gardener,"14 Vermont Cl, Basildon SS13 1BH",SS13,Basildon,5,13,OPERATIONAL,07481 984186,+44 7481 984186,https://www.greenhorizonessex.co.uk/,https://maps.google.com/?cid=11746477936220845032
ChIJ18jyuCfB2EcRlTM9vGvDfME,D B Garden Services,gardener,"South Green, Billericay CM11 2TN",CM11,Basildon,4.8,26,OPERATIONAL,07958 170145,+44 7958 170145,http://www.db-garden-services.co.uk/,https://maps.google.com/?cid=13942233413919257493
ChIJaU8NntDG2EcRTONgwl1dCSU,Hill Top Landscapes,gardener,"2 Pound Ln N, Laindon, Basildon SS15 4ES",SS15,Basildon,5,1,OPERATIONAL,01268 417410,+44 1268 417410,http://www.hilltoplandscapes.co.uk/,https://maps.google.com/?cid=2668766911468200780
ChIJNz7fGzXF2EcRxoiGtiK0Y40,Mr mowit all. Gardening services,gardener,"Wells Gardens, Basildon SS14 3QS",SS14,Basildon,,,OPERATIONAL,07731 500837,+44 7731 500837,,https://maps.google.com/?cid=10188184843226351814
ChIJwwvT4xjD2EcRuLurbzP0FUI,All Seasons Landscapes and Drives,gardener,"The Dawn, Nevendon Rd, Wickford SS12 0PZ",SS12,Basildon,4.9,21,OPERATIONAL,07780 751687,+44 7780 751687,https://www.allseasonsessex.co.uk/,https://maps.google.com/?cid=4761980682768202680
ChIJ7Rpd3SzE2EcRGqU9pebWeHk,A Complete Garden Service,gardener,"35 Downs Grove, Basildon SS16 4QL",SS16,Basildon,3,1,OPERATIONAL,01268 583558,+44 1268 583558,,https://maps.google.com/?cid=8752982161897661722
ChIJXQ33B1YZQ6YRJFADxgmmESk,Lawn Monkey Gardening Services,garden maintenance,"Mersea Cres, Wickford SS12 9GN",SS12,Basildon,5,34,OPERATIONAL,07460 719820,+44 7460 719820,https://www.lawnmonkey.co.uk/,https://maps.google.com/?cid=2959328991066148900
ChIJbxeiERPF2EcRnMdEc3ipQsI,Fine finishes ground maintenance,garden maintenance,"2, Vange Bells Corner, Vange, Basildon SS179HE",SS17,Basildon,5,1,OPERATIONAL,07547 634291,+44 7547 634291,https://finefinishes.info/,https://maps.google.com/?cid=13997936926615979932
ChIJ_dQ028XE2EcR8h6WSgdyEls,All Seasons Garden Service,garden maintenance,"1st Floor, The, Tyrells Centre, 39 Seamore Ave, South Benfleet, Benfleet SS7 4EX",SS7,Basildon,4.7,26,OPERATIONAL,01268 211112,+44 1268 211112,https://www.allseasonsgs.co.uk/,https://maps.google.com/?cid=6562432982673923826
ChIJf1A0VZ_B2EcR6-phKXRUaWQ,Stock Gardens Ltd,garden maintenance,"Unit 1C/D, Oaklands Farm Estate, Goatsmoor Ln, Stock, Ingatestone CM4 9RS",CM4,Basildon,4.7,42,OPERATIONAL,01277 657500,+44 1277 657500,https://www.stockgardens.co.uk/,https://maps.google.com/?cid=7235407134234634987
ChIJw5II0fLH2EcRWpUP3veT7JY,Jc detailing uk,mobile car valeting,"Rickling, Vange, Basildon SS16 4LN",SS16,Basildon,4.9,82,OPERATIONAL,07758 127891,+44 7758 127891,http://www.instagram.com/jc.detailing.uk?igshid=MzNlNGNkZWQ4Mg==,https://maps.google.com/?cid=10875229892984673626
ChIJA29y4P6Ti0YRmCQQa9IGM0Q,Glitz Detailing,mobile car valeting,"Highcliffe Dr, Wickford SS12 0JG",SS12,Basildon,4.9,137,OPERATIONAL,07984 911634,+44 7984 911634,http://glitzdetailingwickford.co.uk/,https://maps.google.com/?cid=4914279119200461976
ChIJS3wn2He32EcRucC3paoUokc,Fresh Car,mobile car valeting,"3 Rookery View, Grays RM17 6AS",RM17,Basildon,4.5,32,OPERATIONAL,,,https://www.freshcar.co.uk/england_locations/car-valeting-basildon/,https://maps.google.com/?cid=5161710846077288633
ChIJgWvRRxhtJmgRxkeFbFldNlg,AWB Mobile Valeting Southend,mobile car valeting,"essex, 5 Thornhill, Southend-on-Sea, Leigh-on-Sea SS9 4JS",SS9,Basildon,5,23,OPERATIONAL,07490 068362,+44 7490 068362,https://awbvaletingsouthend.com/,https://maps.google.com/?cid=6356370562734180294
ChIJXdNptQOZ2EcRToD1cj0PpBQ,Auto Supreme Valeting Essex,mobile car valeting,"14, Epping CM16 5DX",CM16,Basildon,5,52,OPERATIONAL,07751 868275,+44 7751 868275,http://www.supremevaleting.com/,https://maps.google.com/?cid=1487330533535219790
ChIJc9UQv-OP2EcR_QQEqX9zZkg,The Valeting Guy,mobile car valeting,"Stansted Mountfitchet, Stansted CM24 8AQ",CM24,Basildon,4.9,79,OPERATIONAL,07840 497471,+44 7840 497471,http://www.thevaletingguy.co.uk/,https://maps.google.com/?cid=5216984210488952061
ChIJEQouu5va2EcR45CTb3A-7ds,K&L Mobile Car Valeting,mobile car valeting,"Bramble Rd, Canvey Island SS8 7EB",SS8,Basildon,5,9,OPERATIONAL,07788 666242,+44 7788 666242,,https://maps.google.com/?cid=15847391316415844579
ChIJL63l8C7a2EcRAEQHRgO0OzM,A Fine Ironing Service.,ironing service,"Harrow House, School Ave, Basildon SS15 6GN",SS15,Basildon,4.5,2,OPERATIONAL,07983 676212,+44 7983 676212,,https://maps.google.com/?cid=3691742245713036288
ChIJt10ZCjfE2EcRPJscLnwbGck,Clare's Ironing Service,ironing service,"89 Sandon Rd, Basildon SS14 1TZ",SS14,Basildon,4.8,6,OPERATIONAL,07846 688049,+44 7846 688049,,https://maps.google.com/?cid=14490643496204802876
ChIJHVOvMhfE2EcR7gPGJt2Jq78,Wishy Washy Laundry,ironing service,"88 Whitmore Way, Basildon SS14 3JT",SS14,Basildon,4.5,129,OPERATIONAL,01268 271202,+44 1268 271202,,https://maps.google.com/?cid=13811284265193047022
