place_id,business_name,category,address,postcode_area,town_searched,rating,review_count,business_status,phone,phone_intl,website,google_maps_url
ChIJD-i_vzzadUgRn1GGcwFk3yA,GQC Window Cleaning,window cleaner,"7 Bourne Cl, Chilworth, Guildford GU4 8BB",GU4,Guildford,5,39,OPERATIONAL,07980 170512,+44 7980 170512,http://www.guildfordwindowcleaner.co.uk/,https://maps.google.com/?cid=2368721886416097695
ChIJmZ1DHMnQdUgR3Q3SR_s4X6Q,S P Window Cleaning,window cleaner,"89 Cedar Way, Guildford GU1 1JF",GU1,Guildford,5,60,OPERATIONAL,07399 754103,+44 7399 754103,http://www.wclean.co.uk/,https://maps.google.com/?cid=11844248196900589021
ChIJ6etf6SbRdUgRDUi62KEgosc,Marsden Window Cleaning,window cleaner,"2 Sime Cl, Guildford GU3 3ED",GU3,Guildford,5,74,OPERATIONAL,07955 703137,+44 7955 703137,http://www.marsdenwindowcleaning.co.uk/,https://maps.google.com/?cid=14385096039272695821
ChIJ9QNqo_3UdUgRJJvKNM1VHLk,Brilliant Window Cleaners,window cleaner,"76 Park Barn Dr, Guildford GU2 8ES",GU2,Guildford,4.8,17,OPERATIONAL,07761 558957,+44 7761 558957,http://www.brilliantwindowcleaners.com/,https://maps.google.com/?cid=13338630536206916388
ChIJjz7Og87QdUgRjM9yib08nbI,Integrity Window Cleaning,window cleaner,"11 Peak Rd, Guildford GU2 9YE",GU2,Guildford,5,16,OPERATIONAL,07917 644048,+44 7917 644048,http://www.integritywindowcleaning.co.uk/,https://maps.google.com/?cid=12870510094847233932
ChIJ0xpOL5jRdUgR-bJW7IfKzyc,Porters Window Cleaning Services GUILDFORD,window cleaner,"3 White Hart Ln, Wood Street Village, Guildford GU3 3DZ",GU3,Guildford,5,21,OPERATIONAL,07973 641706,+44 7973 641706,,https://maps.google.com/?cid=2868734172792795897
ChIJhR5v4g_RdUgRloecITY9rgs,A-shine window cleaning services,window cleaner,"High St, Guildford GU2 7TX",GU2,Guildford,5,45,OPERATIONAL,07783 950202,+44 7783 950202,https://a-shine.co.uk/,https://maps.google.com/?cid=841677483066296214
ChIJGx3Tf6vQdUgRrc5tpXowg_I,Sullivan Window Cleaning,window cleaner,"Hanson Cl, Guildford GU4 7NJ",GU4,Guildford,4.8,18,OPERATIONAL,01483 779258,+44 1483 779258,https://www.sullivanwindowcleaning.co.uk/,https://maps.google.com/?cid=17474864282447236781
ChIJL3wCMwzTdUgRhJ9EceI257M,Browns window cleaning,window cleaner,"The lodge, Westwood Ln, Normandy, Guildford GU3 2JE",GU3,Guildford,5,1,OPERATIONAL,01483 812092,+44 1483 812092,https://www.browns-window-cleaning.co.uk/,https://maps.google.com/?cid=12963390398600093572
ChIJi0IgRWZluAMRTrgUKWJVyTI,Kabama Window Cleaning,window cleaner,"Dapdune Court, Woodbridge Rd, Guildford GU1 4RU",GU1,Guildford,5,14,OPERATIONAL,07588 869646,+44 7588 869646,https://www.kabamacleaning.com/,https://maps.google.com/?cid=3659550052299618382
ChIJ-Q2jJbTQdUgRolOgzCh667o,LPM Window Cleaning,window cleaner,"2, Ramin Court, Rowan Cl, Guildford GU1 1PR",GU1,Guildford,4.7,13,OPERATIONAL,07724 608411,+44 7724 608411,http://www.lpmguildford.uk/,https://maps.google.com/?cid=13468993426231940002
ChIJyX72Ss7RdUgRl9-1JK9ng8I,UKWindowClean,window cleaner,"191 High St, Guildford GU1 3AW",GU1,Guildford,5,3,OPERATIONAL,0113 271 7313,+44 113 271 7313,https://ukwindowclean.com/window-cleaning-guildford.html,https://maps.google.com/?cid=14016160467239952279
ChIJq8A9wD_RdUgRJ77IKjj869U,Epic cleaners,window cleaner,"39 High St, Guildford GU1 3DY",GU1,Guildford,5,13,OPERATIONAL,07311 479899,+44 7311 479899,http://epiccleaners.co.uk/,https://maps.google.com/?cid=15414691467771821607
ChIJdbwFKOPXdUgRiqq_X3i2TBU,JoBell Cleaning Services,window cleaner,"2 Knox Rd, Guildford GU2 9AH",GU2,Guildford,4.9,133,OPERATIONAL,07949 825369,+44 7949 825369,https://www.jobellcleaningservices.co.uk/,https://maps.google.com/?cid=1534802201145223818
ChIJGyFpGGv7dUgRf1MoAxRCmHw,Pure Window Cleaning ltd,window cleaner,"Brooklands, Mason's Bridge Rd, Redhill RH1 5JU",RH1,Guildford,4.9,211,OPERATIONAL,01737 773768,+44 1737 773768,https://www.pure-windowcleaning.co.uk/,https://maps.google.com/?cid=8977998510882837375
ChIJu7nYDnwqdEgRIxZrjfAaBL0,Abacus Window Cleaning Ltd,window cleaner,"32 Cuckoo Cres, Blackwater, Camberley GU17 0SB",GU17,Guildford,4.5,429,OPERATIONAL,01252 834238,+44 1252 834238,http://abacuswindowcleaning.com/,https://maps.google.com/?cid=13620040793542301219
